Facility_ID,Restaurant_Name,Inspection_Date,Process_Description,Geocode,Street,City,Zip_Code,Score,Med_Income,Population,Home_Ownership,Latitude,Longitude
10026049,North,2015-11-02,Routine Inspection,"11506 CENTURY OAKS TER, AUSTIN, TX 78758",11506 CENTURY OAKS TER,AUSTIN,78758,79,42398.0,42977.0,0.309,30.4025739974,-97.7258935626
2800737,North Austin Medical Ctr.,2015-10-30,Routine Inspection,"12221 N MOPAC EXPY, AUSTIN, TX 78758",12221 N MOPAC EXPY,AUSTIN,78758,86,42398.0,42977.0,0.309,30.4124898532,-97.7068631237
10114565,World Food And Halal Market,2015-10-28,Routine Inspection,"9616 N LAMAR BLVD, AUSTIN, TX 78758",9616 N LAMAR BLVD,AUSTIN,78758,86,42398.0,42977.0,0.309,30.3668012127,-97.6956374462
11315114,Home 2 Suites Austin North,2015-10-28,Routine Inspection,"2800 ESPERANZA XING, AUSTIN, TX 78758",2800 ESPERANZA XING,AUSTIN,78758,91,42398.0,42977.0,0.309,30.3992556134,-97.7183603491
2800039,Parmer Lane Tavern,2015-10-28,Routine Inspection,"2121 W PARMER LN, AUSTIN, TX 78758",2121 W PARMER LN,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4156492668,-97.6975693977
11260327,Bee Cave Coffee Co.,2015-10-28,Routine Inspection,"3220 AMY DONOVAN PLZ, AUSTIN, TX 78758",3220 AMY DONOVAN PLZ,AUSTIN,78758,97,42398.0,42977.0,0.309,30.3968156847,-97.7273110319
11018773,Subway,2015-10-27,Routine Inspection,"9300 N LAMAR BLVD, AUSTIN, TX 78758",9300 N LAMAR BLVD,AUSTIN,78758,94,42398.0,42977.0,0.309,30.362325812,-97.6982876548
10005272,Panda Express #1289,2015-10-27,Routine Inspection,"2501 W PARMER LN, AUSTIN, TX 78758",2501 W PARMER LN,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4182363973,-97.7022420546
11016302,Biryani Pot Indian Cuisine,2015-10-26,Routine Inspection,"12407 N MOPAC EXPY, AUSTIN, TX 78758",12407 N MOPAC EXPY,AUSTIN,78758,77,42398.0,42977.0,0.309,30.4174621729,-97.7028442208
10116960,Cru Wine Bar @ The Domain,2015-10-22,Routine Inspection,"11410 CENTURY OAKS TER, AUSTIN, TX 78758",11410 CENTURY OAKS TER,AUSTIN,78758,90,42398.0,42977.0,0.309,30.4016905261,-97.7267399687
10687405,Copper Restaurant & Dessert Lounge,2015-10-22,Routine Inspection,"3401 ESPERANZA XING, AUSTIN, TX 78758",3401 ESPERANZA XING,AUSTIN,78758,93,42398.0,42977.0,0.309,30.4003894125,-97.7271690643
10008887,Kona Grill at the Domain,2015-10-21,Routine Inspection,"11410 CENTURY OAKS TER, AUSTIN, TX 78758",11410 CENTURY OAKS TER,AUSTIN,78758,85,42398.0,42977.0,0.309,30.4016905261,-97.7267399687
11114129,Snow Monster,2015-10-20,Routine Inspection,"11220 N LAMAR BLVD, AUSTIN, TX 78758",11220 N LAMAR BLVD,AUSTIN,78758,84,42398.0,42977.0,0.309,30.3818969582,-97.6866362975
11233972,Papa Murphy's Pizza,2015-10-19,Routine Inspection,"12407 N MOPAC EXPY, AUSTIN, TX 78758",12407 N MOPAC EXPY,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4174621729,-97.7028442208
10218796,The Settlement Home for Children,2015-10-13,Routine Inspection,"1600 PAYTON GIN RD, AUSTIN, TX 78758",1600 PAYTON GIN RD,AUSTIN,78758,87,42398.0,42977.0,0.309,30.3643881999,-97.7139780842
2800767,Prodigy Child Development Cent,2015-10-13,Routine Inspection,"2300 CEDAR BEND DR, AUSTIN, TX 78758",2300 CEDAR BEND DR,AUSTIN,78758,92,42398.0,42977.0,0.309,30.4125910216,-97.7025375336
